Allele	Losses	Losses_025	Losses_975	Gains	Gains_025	Gains_975
All-PRDM9	1.0643464184540672	1.0187526120825312	1.104884084411152	1.0178916109873795	0.997957449851427	1.0428877246611903
Shared-11ZF	1.320754716981132	1.0870803518187238	1.6057472989195678	1.0081833060556464	0.9184306850129617	1.1243467276800612
PRDM9-A	1.1486486486486487	0.9283968130586864	1.4252286938397405	0.8833333333333333	0.785997256829352	0.987523877308576
PRDM9-B	0.8761061946902655	0.6564628904997113	1.1205948795180722	0.9750566893424036	0.8471238370989178	1.113
PRDM9-C	1.0	0.7822880825774163	1.275	1.0969072164948455	0.9844157724408107	1.2240034301561817
PRDM9-D	1.0887096774193548	0.8663888888888889	1.4027365315058058	0.876425855513308	0.772827665664666	0.9981771234777247
PRDM9-E	1.1221374045801527	0.8992382756207025	1.4416957279860505	1.0185950413223142	0.8999221789883268	1.167549292214358
PRDM9-F	1.3956043956043955	1.095777027027027	1.8272837837837839	0.8995535714285714	0.7767327115702307	1.0214982763192786
PRDM9-G	1.1636363636363636	0.9260412501666001	1.4338425925925926	0.9801192842942346	0.8714358393265962	1.0983660130718955
PRDM9-H	0.9701492537313433	0.7634732947232947	1.1920474137931034	1.0614525139664805	0.930289426775495	1.2040280060392077
PRDM9-I	0.9915966386554622	0.7532962372776807	1.2218750000000003	1.0759753593429158	0.94680506993007	1.2350618631732169
PRDM9-J	1.0669014084507042	0.9719282688363649	1.1859130094043888	1.0452459016393443	0.974810906650463	1.1138903217280467
PRDM9-K	1.1258741258741258	0.948538961038961	1.3955841638981175	0.9507908611599297	0.8389020711688029	1.0700016080980432
PRDM9-L	1.1901408450704225	0.9773785879793824	1.4480333295926384	1.091726618705036	0.9670547794974433	1.215888704477384
PRDM9-M	1.2591623036649215	1.1003562130593865	1.4379461316781201	1.0482456140350878	0.9847516048111192	1.1119274376417234
PRDM9-N	1.0707635009310987	0.9477063715971128	1.189799514262584	1.017150395778364	0.950052638067657	1.0884707621311691
PRDM9-O	1.0413223140495869	0.9296595982142857	1.1678680014831295	1.0320284697508897	0.9679577171664568	1.1116149264559614
PRDM9-P	1.1153846153846154	0.9643589191823867	1.274130610997422	1.0308967596081386	0.9577908593510175	1.1032731407169611
PRDM9-Q	1.1511936339522546	1.0258219391531298	1.3184609714463067	1.0151285930408471	0.942609354016499	1.0851439870503736
PRDM9-R	0.864	0.6717447916666667	1.0787818253035646	1.0615711252653928	0.9317154192605168	1.2120839856973595
PRDM9-S	1.1717948717948719	1.0357109785443412	1.3372787080854243	1.0091678420310297	0.9456631028447312	1.0796624586426462
PRDM9-T	1.1899441340782122	0.9844680851063831	1.4493468542367323	1.097629009762901	1.0	1.2151115390631109
PRDM9-U	0.9400630914826499	0.8132298099962877	1.100877134693335	1.0736738703339883	0.9932241922373501	1.171044209884663
PRDM9-V	1.0234375	0.8166177621283255	1.2793806306306308	1.0163170163170163	0.9023392834455597	1.163429797393212
